0_SOAP,1_SOAP,2_SOAP,3_SOAP
0.0874048560515806,2.3508315050221356,0.7168425717781134,2.457795198739664
-6.277936330812644,-0.735616766538587,0.4890575514303555,2.256497458274393
0.1132131471167092,2.377825285975787,0.7917830238903765,2.481894279155048
-6.40667069712148,-0.46970170238673226,0.5630184795102753,2.2875815223160862
7.747548163706008,1.5739615286816362,-8.671539294925823,0.44877307829967306
0.14554029940014557,2.4115389500047373,0.8855028587287261,2.512017637654454
-4.6234282797153705,1.0489878616823634,1.7963732674781085,3.1331685228872836
-7.048813933610252,-0.7558648201140964,0.8718606836912214,3.0021961264907557
-4.318021606496526,0.6664794732568912,1.7561194862700722,4.290519332974434
6.239687653957902,1.2093535893634233,-7.324400963513854,0.8026693991846506
-7.996654470271718,-1.3825333927443877,0.814496824237075,3.4096561637733025
-7.1273691021395775,-0.7287972978330821,0.9793273038999056,3.1478465771928783
-7.437677212737775,-1.308909119485214,2.3028268029485237,4.452853838868878
-7.49303862518923,-1.2892320795705219,2.357214655268077,4.494252655146737
-7.527168159822016,-1.2749351101213027,2.39276304977228,4.519571098573617
-7.382327253782348,-1.3285984996897855,2.2484378186670453,4.411471666613956
-5.741251433788659,1.379063944049204,1.1552792911628436,1.9383042653679392
-7.2574150461856926,-1.1591856009501509,2.3264054635602838,4.300053925603752
-5.351930126372968,0.1757316544498127,1.899704069936272,3.5465420948957127
-5.786398856988929,-0.7891521823753661,1.3455242050011955,2.253787612783292
-7.601481939371621,-0.955493097227083,1.6684292706275674,3.5165293656348595
-5.737745751674341,1.400765779090231,1.1862163448841871,1.950718097288588
-5.734987709010153,1.4181227781848156,1.211006407894123,1.9606954055811021
-6.079828627264469,-0.7881228664433452,1.6053383592968855,2.9743052615360708
-5.730068130462686,1.4485126840778648,1.254326876390172,1.9780697638395415
-5.72802317676492,1.4615250187747837,1.2729235442958768,1.9855695932358313
-5.701725321756653,1.257217846736819,1.243570688300808,1.9577861316893443
-8.468444819006821,-2.5189435408351617,-0.6224040934855958,-3.0269050952500898
-5.12932488882039,-0.47701361157642036,1.2471653942285665,1.9558060938478918
-9.172182216224906,-1.1711119233540244,0.7603068491422234,5.324838383022149
7.86461637258389,-19.412832132526795,56.22807955938425,-2.238023982075583
-7.117452776562941,-1.1144766118370497,1.1272851690613905,3.255941767979664
-3.6985114627082702,-2.4517041400012247,-0.7995625768904133,2.8069381661614816
-6.120152883698266,-1.9868879876642143,-0.19477606856832266,4.995323017787752
-9.56130812429386,-2.835889945073438,0.11569606520770766,-1.8549674585207183
-6.391334577222613,0.055832005011490764,1.1835018832718884,1.0407191490133743
-5.6947614072483175,1.3006312146589925,1.3055124108840577,1.9826701015239574
-5.724539276825367,1.483233491759278,1.3038939164157324,1.998009191847278
-7.045640382086659,1.4519629572666048,2.0685856349921266,3.4147135686921954
-7.328049436519255,1.156571070906694,1.3893500109997685,3.186329412624607
-7.811576172546502,-1.438274563566072,1.0683526675043153,3.7569203059032557
-7.260251723223618,-3.146298600722716,-1.010903534540849,-0.6421792580330465
-6.563941583289307,-1.36480809607936,1.2333742531461418,2.1243927832691067
-5.2792158567925656,-0.25577220340948825,1.4305494448190255,1.7671488555041532
